last_name, first_name,fielder_2,year,n_called_pitches,runs_extra_strikes,strike_rate,strike_rate_11,strike_rate_12,strike_rate_13,strike_rate_14,strike_rate_16,strike_rate_17,strike_rate_18,strike_rate_19
,999999,2017,148524,0,46.9,16.2,35.0,15.9,65.3,66.6,33.8,48.8,28.0
Higashioka, Kyle,543309,2017,178,1,54.5,12.5,17.4,25.0,76.0,86.1,37.5,63.0,33.3
Flowers, Tyler,452095,2017,2387,15,54.3,13.9,31.4,15.1,65.1,82.1,37.4,62.5,46.0
Mathis, Jeff,425772,2017,1555,4,54.3,8.6,11.6,3.8,60.6,70.1,50.6,69.8,52.2
Fryer, Eric,518700,2017,517,2,53.2,31.0,45.5,12.5,71.3,74.7,19.4,50.4,27.9
Perez, Carlos,542208,2017,159,0,52.2,20.0,23.8,16.7,75.9,56.7,46.7,57.9,53.3
Maldonado, Martin,455117,2017,3716,20,52.0,16.1,38.2,16.2,64.0,74.4,38.3,57.0,37.5
Hedges, Austin,595978,2017,3121,10,51.8,17.0,37.5,12.7,70.1,64.8,40.3,60.3,33.7
Joseph, Caleb,543376,2017,2052,5,51.7,15.6,28.5,9.0,73.7,68.3,39.1,54.7,37.7
Vogt, Stephen,519390,2017,1989,6,50.5,16.5,33.2,19.2,58.3,71.5,38.0,53.0,39.1
Grandal, Yasmani,518735,2017,3169,8,50.4,13.3,29.1,12.4,62.7,76.2,34.5,63.5,37.2
Stassi, Max,545358,2017,203,0,50.2,5.9,21.7,22.2,69.7,72.7,44.4,63.8,39.1
Phegley, Josh,572033,2017,1340,3,50.1,11.3,16.2,10.9,66.7,69.3,43.8,58.7,34.6
Romine, Austin,519222,2017,1743,4,50.1,20.7,39.8,11.8,67.5,68.1,41.4,52.8,29.5
Perez, Roberto,547379,2017,2075,8,49.9,12.5,37.8,20.0,65.4,70.8,41.5,55.2,33.3
Vazquez, Christian,543877,2017,2709,4,49.8,14.2,38.9,24.3,68.3,72.2,37.4,49.3,34.0
d'Arnaud, Travis,518595,2017,2773,7,49.8,21.3,47.1,20.0,67.7,66.8,38.8,48.5,30.3
Bandy, Jett,542908,2017,1375,0,49.7,12.7,33.9,17.6,69.1,66.3,50.4,50.2,27.9
Martin, Russell,431145,2017,2273,2,49.5,23.3,37.7,26.9,63.5,70.7,28.0,49.9,32.1
Barnes, Austin,605131,2017,1729,3,49.5,14.6,24.4,8.7,57.1,71.2,42.2,63.4,45.7
Gomes, Yan,543228,2017,2736,6,49.5,23.4,29.3,12.6,72.8,58.5,46.5,60.6,24.0
Hicks, John,543308,2017,403,1,49.4,17.4,40.7,20.0,76.4,71.7,31.3,35.9,21.1
Maile, Luke,571912,2017,1059,-1,49.4,20.0,40.2,26.1,68.6,72.7,31.2,50.2,33.3
Sucre, Jesus,491696,2017,1570,4,49.3,8.0,32.1,15.9,72.8,66.5,43.2,54.3,28.8
Gattis, Evan,594828,2017,1425,1,49.2,2.0,36.5,27.9,65.4,70.3,38.5,58.6,23.2
Molina, Yadier,425877,2017,3780,7,49.2,22.0,40.8,22.3,66.2,67.2,39.4,50.2,26.5
McCann, Brian,435263,2017,3266,-2,49.0,10.9,17.9,12.5,70.1,62.4,48.9,59.2,31.2
Posey, Buster,457763,2017,2635,3,48.9,26.1,38.7,12.0,72.3,62.7,34.0,51.1,25.6
Stewart, Chris,455755,2017,1155,0,48.4,16.9,34.1,11.4,63.2,66.7,42.1,54.9,30.6
Garneau, Dustin,572863,2017,1031,3,48.3,7.9,30.5,18.2,61.3,70.9,40.0,50.2,36.9
Montero, Miguel,471083,2017,1458,3,48.1,10.1,42.5,14.8,60.1,68.9,27.8,54.9,31.6
Iannetta, Chris,455104,2017,2182,1,48.0,6.7,27.4,11.5,62.2,69.8,33.5,52.9,39.7
Cervelli, Francisco,465041,2017,2097,0,47.9,12.1,16.8,4.2,69.1,60.7,44.4,58.2,29.7
Lopez, Raffy,607257,2017,595,0,47.7,17.4,32.8,16.7,60.2,79.1,24.6,41.8,41.1
Rivera, Rene,425784,2017,2002,2,47.6,12.6,33.9,14.0,62.2,69.7,29.8,51.5,38.1
Norris, Derek,519083,2017,1569,1,47.5,7.6,32.4,16.1,63.7,72.0,43.7,55.0,27.9
Saltalamacchia, Jarrod,457454,2017,198,0,47.5,0.0,13.3,0.0,69.6,70.7,45.5,50.0,40.0
Leon, Sandy,506702,2017,2386,-1,47.5,23.5,45.0,24.8,64.4,66.7,29.0,46.2,19.7
Castillo, Welington,456078,2017,2655,-3,47.4,16.3,22.8,13.9,67.4,70.0,33.2,48.6,30.7
Graterol, Juan,492802,2017,764,1,47.4,19.7,32.9,21.2,61.5,74.8,36.1,49.2,26.7
Zunino, Mike,572287,2017,3323,6,47.3,15.4,35.5,17.0,62.5,66.9,31.7,54.3,26.8
Castro, Jason,488771,2017,2914,0,47.2,10.7,38.5,21.7,62.8,74.1,27.4,44.5,26.1
Lobaton, Jose,446653,2017,1329,1,46.9,16.7,34.0,7.9,66.8,62.4,33.7,48.2,33.0
Ramos, Wilson,467092,2017,1634,0,46.8,21.2,42.2,21.5,71.9,67.0,24.5,37.1,25.8
Sanchez, Gary,596142,2017,3243,-2,46.8,18.1,47.0,22.6,66.8,73.5,26.4,38.1,22.0
