last_name, first_name,player_id,display_team_name,year,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted
Abreu, Jose,547989,White Sox,2020,1B,2,2,0,2,0,0,0,2,98%,95%,3%
Acuna Jr., Ronald,660670,Braves,2020,CF,1,2,-1,0,2,0,1,1,93%,92%,1%
Adames, Willy,642715,Rays,2020,SS,-5,-6,-1,-4,-2,0,-7,1,84%,88%,-4%
Adell, Jo,666176,Angels,2020,RF,-3,-3,-1,-2,1,-1,-1,-3,83%,87%,-4%
Adrianza, Ehire,501303,Twins,2020,3B,2,3,2,-2,1,1,1,2,84%,80%,4%
Aguilar, Jesus,542583,Marlins,2020,1B,-1,-1,-1,0,0,-1,-1,0,84%,88%,-4%
Ahmed, Nick,605113,Diamondbacks,2020,SS,3,4,0,0,2,1,3,1,91%,88%,3%
Akiyama, Shogo,673451,Reds,2020,LF,1,1,0,1,0,0,1,0,91%,90%,1%
Alberto, Hanser,593643,Orioles,2020,2B,-2,-3,-1,-1,1,-1,-3,0,90%,92%,-2%
Albies, Ozzie,645277,Braves,2020,2B,3,4,2,0,2,1,2,2,97%,92%,5%
Alford, Anthony,546990,---,2020,LF,-1,-1,-1,0,-1,0,-1,-1,67%,79%,-12%
Allen, Greg,656185,---,2020,LF,1,1,0,1,0,0,1,0,95%,91%,4%
Almora Jr., Albert,546991,Cubs,2020,CF,0,0,0,0,0,0,-1,1,86%,86%,0%
Alonso, Pete,624413,Mets,2020,1B,-2,-3,-2,0,-1,0,0,-3,78%,86%,-8%
Altuve, Jose,514888,Astros,2020,2B,1,1,1,2,0,-1,0,1,92%,90%,2%
Alvarez, Eddy,657193,Marlins,2020,2B,-1,-1,-1,0,0,0,-1,0,89%,93%,-4%
Anderson, Brian,605119,Marlins,2020,3B,3,4,2,0,1,0,2,2,93%,89%,4%
Anderson, Tim,641313,White Sox,2020,SS,-1,-2,1,-1,0,-1,-2,0,86%,87%,-1%
Andrus, Elvis,462101,Rangers,2020,SS,-2,-3,0,-1,-3,0,-4,0,84%,88%,-4%
Andujar, Miguel,609280,Yankees,2020,3B,-3,-4,-1,-3,0,0,-3,-1,67%,89%,-22%
Aquino, Aristides,606157,Reds,2020,LF,0,0,0,0,0,0,0,0,88%,88%,0%
Arauz, Jonathan,660620,Red Sox,2020,2B,-2,-3,0,-2,0,0,0,-2,84%,89%,-5%
Arcia, Orlando,606115,Brewers,2020,SS,-1,-1,1,-2,1,0,0,-1,88%,89%,-1%
Arenado, Nolan,571448,Rockies,2020,3B,5,7,2,0,4,1,5,2,95%,90%,5%
Arozarena, Randy,668227,Rays,2020,LF,-2,-2,0,-1,-1,0,0,-2,75%,79%,-4%
Arraez, Luis,650333,Twins,2020,2B,0,0,1,-1,0,1,1,-1,94%,94%,0%
Arroyo, Christian,624414,Red Sox,2020,2B,-1,-1,0,-1,0,0,-2,1,91%,96%,-5%
Bader, Harrison,664056,Cardinals,2020,CF,4,4,1,2,0,0,3,1,91%,86%,5%
Baez, Javier,595879,Cubs,2020,SS,3,4,3,-2,3,1,2,2,92%,90%,2%
Barreto, Franklin,620439,---,2020,2B,0,0,0,0,-1,0,-1,0,90%,92%,-2%
Basabe, Luis Alexander,642772,Giants,2020,RF,1,1,0,0,1,0,1,0,92%,84%,8%
Beaty, Matt,607461,Dodgers,2020,1B,0,0,0,0,0,0,0,0,91%,92%,-1%
Bell, Josh,605137,Pirates,2020,1B,0,0,0,-1,1,0,0,0,93%,94%,-1%
Bellinger, Cody,641355,Dodgers,2020,CF,6,7,0,3,3,1,4,3,93%,89%,4%
Belt, Brandon,474832,Giants,2020,1B,1,1,0,0,0,0,0,1,96%,94%,2%
Benintendi, Andrew,643217,Red Sox,2020,LF,1,1,1,0,0,0,0,1,87%,84%,3%
Berti, Jon,542932,Marlins,2020,2B,-3,-4,0,-1,-2,0,-4,0,89%,93%,-4%
Betts, Mookie,605141,Dodgers,2020,RF,4,5,0,3,1,2,3,2,93%,90%,3%
Bichette, Bo,666182,Blue Jays,2020,SS,-1,-1,0,-2,1,0,-1,0,87%,88%,-1%
Biggio, Cavan,624415,Blue Jays,2020,2B,-2,-2,0,-1,0,-1,-2,0,88%,89%,-1%
Bishop, Braden,623323,Mariners,2020,RF,0,0,0,0,0,0,0,0,95%,95%,0%
Blackmon, Charlie,453568,Rockies,2020,RF,0,0,1,0,-2,1,0,-1,91%,91%,0%
Bogaerts, Xander,593428,Red Sox,2020,SS,-2,-2,2,-3,-2,1,-3,0,86%,87%,-1%
Bohm, Alec,664761,Phillies,2020,3B,1,1,0,0,1,0,1,0,92%,91%,1%
Bonifacio, Jorge,593528,Tigers,2020,LF,0,0,0,-1,0,0,0,0,88%,88%,0%
Bote, David,623520,Cubs,2020,3B,-3,-4,1,-2,-3,0,-4,0,84%,90%,-6%
Bradley Jr., Jackie,598265,Red Sox,2020,CF,6,7,1,4,2,-1,3,3,92%,86%,6%
Brantley, Michael,488726,Astros,2020,LF,1,1,0,-1,1,0,1,0,88%,87%,1%
Braun, Ryan,460075,Brewers,2020,RF,-1,-1,0,0,-1,0,-1,0,79%,82%,-3%
Bregman, Alex,608324,Astros,2020,3B,1,1,2,1,-2,1,-1,2,89%,88%,1%
Brinson, Lewis,621446,Marlins,2020,RF,0,-1,0,-3,2,0,-1,0,87%,88%,-1%
Brosseau, Mike,670712,Rays,2020,3B,1,2,0,1,1,0,2,0,94%,91%,3%
Bruce, Jay,457803,Phillies,2020,LF,1,1,0,0,0,0,0,1,100%,98%,2%
Bryant, Kris,592178,Cubs,2020,3B,-1,-1,-1,0,0,0,-1,0,88%,90%,-2%
Buxton, Byron,621439,Twins,2020,CF,3,3,0,1,3,-1,0,2,94%,91%,3%
Cabrera, Asdrubal,452678,Nationals,2020,3B,3,4,2,1,1,0,3,1,98%,91%,7%
Cain, Lorenzo,456715,Brewers,2020,CF,0,0,0,0,0,0,0,0,92%,89%,3%
Calhoun, Kole,594777,Diamondbacks,2020,RF,-1,-1,0,-2,-1,1,0,-1,90%,92%,-2%
Calhoun, Willie,641432,Rangers,2020,LF,-1,-2,0,0,-1,-1,-1,0,79%,90%,-11%
Camargo, Johan,622666,Braves,2020,2B,3,4,1,1,1,1,3,0,95%,91%,4%
Cameron, Daz,663662,Tigers,2020,RF,0,0,0,0,0,1,1,-1,88%,86%,2%
Candelario, Jeimer,600869,Tigers,2020,1B,1,1,0,0,1,0,2,0,94%,92%,2%
Canha, Mark,592192,Athletics,2020,RF,0,0,-1,0,0,0,1,-1,89%,89%,0%
Cano, Robinson,429664,Mets,2020,2B,2,3,2,0,1,0,2,1,91%,87%,4%
Carlson, Dylan,666185,Cardinals,2020,CF,-1,-1,0,0,-1,0,0,0,90%,90%,0%
Carpenter, Matt,572761,Cardinals,2020,3B,-1,-1,1,-2,-1,0,-1,0,91%,92%,-1%
Castellanos, Nick,592206,Reds,2020,RF,-4,-5,-1,-3,-1,1,-3,-2,84%,88%,-4%
Castro, Harold,605612,Tigers,2020,RF,-1,-1,0,0,-1,0,0,-1,84%,87%,-3%
Castro, Starlin,516770,Nationals,2020,2B,0,1,2,0,-3,1,2,-1,92%,90%,2%
Castro, Willi,650489,Tigers,2020,SS,-2,-3,0,-2,0,0,-4,1,88%,91%,-3%
Cave, Jake,595909,Twins,2020,CF,2,2,1,1,1,0,2,0,92%,88%,4%
Chang, Yu,644374,Indians,2020,2B,1,1,1,0,0,0,1,0,92%,84%,8%
Chapman, Matt,656305,Athletics,2020,3B,2,3,3,0,0,0,1,2,86%,82%,4%
Chavis, Michael,656308,Red Sox,2020,2B,-4,-5,0,-3,0,-2,-3,-2,79%,88%,-9%
Chisholm, Jazz,665862,Marlins,2020,2B,-2,-2,0,-2,-1,0,-2,0,78%,82%,-4%
Choi, Ji-Man,596847,Rays,2020,1B,0,0,0,1,-1,0,0,0,93%,93%,0%
Choo, Shin-Soo,425783,Rangers,2020,LF,-2,-2,0,-1,-1,0,-1,-1,87%,92%,-5%
Colon, Christian,518568,Reds,2020,2B,0,0,0,0,-1,0,0,-1,83%,87%,-4%
Conforto, Michael,624424,Mets,2020,RF,-5,-5,0,0,-3,-2,-5,0,80%,84%,-4%
